Time,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot,)    sum(vTop),sum(vRoot,)    sum(vBot,)      hTop,hRoot,hBot,RunOff,sum(RunOff),Volume,sum(Infil),sum(Evap),TLeve,l Cum(WTrans),SnowLayer
0.05,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.05E+00,4.00E-03,8.50E-03,4.00E-03,8.50E-03,-5.24E-02,-6.05E+01,-5.61E+01,-5.56E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,4.00E-03,1,1.61E-01,0
0.1,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.04E+00,8.00E-03,1.70E-02,8.00E-03,1.70E-02,-1.04E-01,-6.45E+01,-5.68E+01,-5.57E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,8.00E-03,2,3.07E-01,0
0.165,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.03E+00,1.32E-02,2.81E-02,1.32E-02,2.81E-02,-1.71E-01,-6.80E+01,-5.76E+01,-5.59E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,1.32E-02,3,4.79E-01,0
0.2495,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-1.01E+00,2.00E-02,4.24E-02,2.00E-02,4.24E-02,-2.57E-01,-7.15E+01,-5.87E+01,-5.60E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,2.00E-02,4,6.75E-01,0
0.3593,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-9.98E-01,2.87E-02,6.11E-02,2.87E-02,6.11E-02,-3.66E-01,-7.49E+01,-6.00E+01,-5.62E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,2.87E-02,5,8.88E-01,0
0.5022,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-9.82E-01,4.02E-02,8.54E-02,4.02E-02,8.54E-02,-5.07E-01,-7.90E+01,-6.17E+01,-5.64E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,4.02E-02,6,1.11E+00,0
0.6878,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-9.66E-01,5.50E-02,1.17E-01,5.50E-02,1.17E-01,-6.86E-01,-8.30E+01,-6.36E+01,-5.66E+01,0.00E+00,0.00E+00,1.50E+02,0.00E+00,5.50E-02,7,1.31E+00,0
0.9291,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-9.52E-01,7.43E-02,1.58E-01,7.43E-02,1.58E-01,-9.16E-01,-8.72E+01,-6.58E+01,-5.67E+01,0.00E+00,0.00E+00,1.49E+02,0.00E+00,7.43E-02,8,1.46E+00,0
1.2429,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-9.40E-01,9.94E-02,2.11E-01,9.94E-02,2.11E-01,-1.21E+00,-9.19E+01,-6.84E+01,-5.69E+01,0.00E+00,0.00E+00,1.49E+02,0.00E+00,9.94E-02,9,1.53E+00,0
1.6507,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-9.32E-01,1.32E-01,2.81E-01,1.32E-01,2.81E-01,-1.59E+00,-9.76E+01,-7.14E+01,-5.69E+01,0.00E+00,0.00E+00,1.49E+02,0.00E+00,1.32E-01,10,1.49E+00,0
2.181,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-9.29E-01,1.74E-01,3.71E-01,1.74E-01,3.71E-01,-2.08E+00,-1.05E+02,-7.51E+01,-5.70E+01,0.00E+00,0.00E+00,1.48E+02,0.00E+00,1.74E-01,11,1.35E+00,0
2.8703,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-9.28E-01,2.30E-01,4.88E-01,2.30E-01,4.88E-01,-2.72E+00,-1.15E+02,-7.99E+01,-5.70E+01,0.00E+00,0.00E+00,1.47E+02,0.00E+00,2.30E-01,12,1.12E+00,0
3.7663,8.00E-02,1.70E-01,8.00E-02,1.70E-01,-9.28E-01,3.01E-01,6.40E-01,3.01E-01,6.40E-01,-3.55E+00,-1.30E+02,-8.63E+01,-5.70E+01,0.00E+00,0.00E+00,1.46E+02,0.00E+00,3.01E-01,13,8.61E-01,0
