Time,cvTop,cvBot,Sum(cvTop),Sum(cvBot),cvCh0,cvCh1,cTop,cRoot,cBot,cvRoot,Sum(cvRoot),Sum(cvNEql),TLevel,cGWL,cRunOff,Sum(cRunOff),"(cv(i),","Sum(cv(i)),","i=1,NObs)",,,,,
0.05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.02E+03,0.00E+00,1.98E+02,9.92E+00,8.60E+03,1,0.00E+00,0.00E+00,0.00E+00,-1.77E+03,-8.86E+01,-3.66E-05,-1.83E-06,-2.00E-25,-9.99E-27,0.00E+00,0.00E+00
0.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.31E+02,0.00E+00,1.42E+02,1.70E+01,9.85E+03,2,0.00E+00,0.00E+00,0.00E+00,-1.50E+03,-1.64E+02,-5.02E-04,-2.69E-05,-9.61E-24,-4.91E-25,0.00E+00,0.00E+00
0.165,6.65E-13,0.00E+00,4.32E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.89E+02,0.00E+00,1.34E+02,2.57E+01,1.01E+04,3,0.00E+00,0.00E+00,0.00E+00,-1.31E+03,-2.49E+02,-6.20E-03,-4.30E-04,-4.88E-21,-3.18E-22,0.00E+00,0.00E+00
0.2495,2.42E-12,0.00E+00,2.48E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.82E+02,0.00E+00,1.32E+02,3.69E+01,1.01E+04,4,0.00E+00,0.00E+00,0.00E+00,-1.12E+03,-3.44E+02,-5.47E-02,-5.05E-03,-2.72E-18,-2.30E-19,0.00E+00,0.00E+00
0.3593,-6.58E-13,0.00E+00,1.75E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.82E+02,0.00E+00,1.32E+02,5.14E+01,1.01E+04,5,0.00E+00,0.00E+00,0.00E+00,-9.37E+02,-4.46E+02,-3.50E-01,-4.35E-02,-9.40E-16,-1.04E-16,-9.32E-31,-1.02E-31
0.5022,-1.99E-12,0.00E+00,-1.09E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.82E+02,0.00E+00,1.31E+02,7.01E+01,1.01E+04,6,0.00E+00,0.00E+00,0.00E+00,-7.55E+02,-5.54E+02,-1.71E+00,-2.88E-01,-1.97E-13,-2.83E-14,-6.87E-27,-9.82E-28
0.6878,1.38E-10,0.00E+00,2.55E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.83E+02,0.00E+00,1.30E+02,9.43E+01,1.01E+04,7,0.00E+00,0.00E+00,0.00E+00,-5.89E+02,-6.64E+02,-6.66E+00,-1.52E+00,-2.60E-11,-4.85E-12,-2.32E-23,-4.32E-24
0.9291,6.74E-11,0.00E+00,4.17E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.84E+02,0.00E+00,1.30E+02,1.26E+02,1.01E+04,8,0.00E+00,0.00E+00,0.00E+00,-4.48E+02,-7.72E+02,-2.14E+01,-6.70E+00,-2.21E-09,-5.39E-10,-3.99E-20,-9.64E-21
1.2429,-1.59E-10,0.00E+00,-8.22E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.86E+02,0.00E+00,1.29E+02,1.66E+02,1.02E+04,9,0.00E+00,0.00E+00,0.00E+00,-3.35E+02,-8.77E+02,-5.77E+01,-2.48E+01,-1.24E-07,-3.95E-08,-3.59E-17,-1.13E-17
1.6507,-3.52E-11,0.00E+00,-2.26E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.91E+02,0.00E+00,1.28E+02,2.18E+02,1.03E+04,10,0.00E+00,0.00E+00,0.00E+00,-2.53E+02,-9.80E+02,-1.28E+02,-7.70E+01,-4.55E-06,-1.89E-06,-1.68E-14,-6.87E-15
