Time,cvTop,cvBot,Sum(cvTop),Sum(cvBot),cvCh0,cvCh1,cTop,cRoot,cBot,cvRoot,Sum(cvRoot),Sum(cvNEql),TLevel,cGWL,cRunOff,Sum(cRunOff),"(cv(i),","Sum(cv(i)),","i=1,NObs)",,,,,
0.05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.04E+02,0.00E+00,1.35E+02,6.73E+00,8.60E+03,1,0.00E+00,0.00E+00,0.00E+00,-1.77E+03,-8.86E+01,-3.68E-05,-1.84E-06,-1.99E-25,-9.97E-27,0.00E+00,0.00E+00
0.1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.63E+02,0.00E+00,9.67E+01,1.16E+01,9.85E+03,2,0.00E+00,0.00E+00,0.00E+00,-1.50E+03,-1.64E+02,-5.05E-04,-2.71E-05,-9.55E-24,-4.87E-25,0.00E+00,0.00E+00
0.165,6.53E-13,0.00E+00,4.25E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.42E+02,0.00E+00,9.10E+01,1.75E+01,1.01E+04,3,0.00E+00,0.00E+00,0.00E+00,-1.31E+03,-2.49E+02,-6.24E-03,-4.33E-04,-4.84E-21,-3.15E-22,0.00E+00,0.00E+00
0.2495,2.32E-12,0.00E+00,2.38E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E+02,0.00E+00,9.00E+01,2.51E+01,1.01E+04,4,0.00E+00,0.00E+00,0.00E+00,-1.13E+03,-3.44E+02,-5.52E-02,-5.10E-03,-2.69E-18,-2.28E-19,0.00E+00,0.00E+00
0.3593,-6.51E-13,0.00E+00,1.67E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E+02,0.00E+00,8.99E+01,3.50E+01,1.01E+04,5,0.00E+00,0.00E+00,0.00E+00,-9.42E+02,-4.48E+02,-3.54E-01,-4.40E-02,-9.31E-16,-1.02E-16,-8.46E-31,-9.29E-32
0.5022,-1.91E-12,0.00E+00,-1.06E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E+02,0.00E+00,8.98E+01,4.78E+01,1.01E+04,6,0.00E+00,0.00E+00,0.00E+00,-7.61E+02,-5.56E+02,-1.73E+00,-2.91E-01,-1.96E-13,-2.80E-14,-6.16E-27,-8.80E-28
0.6878,1.32E-10,0.00E+00,2.44E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.38E+02,0.00E+00,8.97E+01,6.44E+01,1.01E+04,7,0.00E+00,0.00E+00,0.00E+00,-5.95E+02,-6.67E+02,-6.78E+00,-1.55E+00,-2.59E-11,-4.83E-12,-2.06E-23,-3.82E-24
0.9291,3.70E-11,0.00E+00,3.33E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.39E+02,0.00E+00,8.96E+01,8.61E+01,1.01E+04,8,0.00E+00,0.00E+00,0.00E+00,-4.54E+02,-7.76E+02,-2.20E+01,-6.85E+00,-2.22E-09,-5.41E-10,-3.51E-20,-8.48E-21
1.2429,-1.39E-10,0.00E+00,-1.03E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.40E+02,0.00E+00,8.96E+01,1.14E+02,1.02E+04,9,0.00E+00,0.00E+00,0.00E+00,-3.41E+02,-8.83E+02,-5.95E+01,-2.55E+01,-1.26E-07,-4.02E-08,-3.16E-17,-9.91E-18
1.6507,-1.75E-11,0.00E+00,-1.74E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.42E+02,0.00E+00,8.98E+01,1.51E+02,1.03E+04,10,0.00E+00,0.00E+00,0.00E+00,-2.58E+02,-9.89E+02,-1.33E+02,-7.99E+01,-4.73E-06,-1.97E-06,-1.50E-14,-6.13E-15
2.181,3.78E-09,0.00E+00,1.99E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.46E+02,0.00E+00,9.02E+01,1.99E+02,1.04E+04,11,0.00E+00,0.00E+00,0.00E+00,-2.02E+02,-1.10E+03,-2.43E+02,-2.09E+02,-1.11E-04,-6.10E-05,-3.63E-12,-1.93E-12
2.8703,1.08E-08,0.00E+00,9.43E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.49E+02,0.00E+00,9.07E+01,2.61E+02,1.05E+04,12,0.00E+00,0.00E+00,0.00E+00,-1.52E+02,-1.20E+03,-3.69E+02,-4.63E+02,-1.54E-03,-1.13E-03,-3.92E-10,-2.72E-10
3.7663,1.61E-09,0.00E+00,1.09E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.54E+02,0.00E+00,9.13E+01,3.43E+02,1.07E+04,13,0.00E+00,0.00E+00,0.00E+00,-1.09E+02,-1.30E+03,-4.88E+02,-9.00E+02,-1.39E-02,-1.36E-02,-2.02E-08,-1.84E-08
4.0885,-1.60E-08,0.00E+00,5.72E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.61E+02,0.00E+00,9.23E+01,3.73E+02,1.08E+04,14,0.00E+00,0.00E+00,0.00E+00,-9.62E+01,-1.33E+03,-5.22E+02,-1.07E+03,-2.40E-02,-2.13E-02,-4.23E-08,-3.20E-08
4.4106,-2.78E-08,0.00E+00,-3.23E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.63E+02,0.00E+00,9.27E+01,4.03E+02,1.09E+04,15,0.00E+00,0.00E+00,0.00E+00,-8.51E+01,-1.36E+03,-5.50E+02,-1.25E+03,-3.91E-02,-3.39E-02,-8.51E-08,-5.94E-08
4.8293,-4.63E-08,0.00E+00,-2.26E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.66E+02,0.00E+00,9.32E+01,4.42E+02,1.10E+04,16,0.00E+00,0.00E+00,0.00E+00,-7.32E+01,-1.39E+03,-5.74E+02,-1.49E+03,-6.95E-02,-6.30E-02,-2.03E-07,-1.44E-07
5.3737,-7.41E-08,0.00E+00,-6.30E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.69E+02,0.00E+00,9.37E+01,4.93E+02,1.11E+04,17,0.00E+00,0.00E+00,0.00E+00,-6.31E+01,-1.42E+03,-5.86E+02,-1.80E+03,-1.37E-01,-1.38E-01,-5.77E-07,-4.59E-07
6.0814,-1.01E-07,0.00E+00,-1.34E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.73E+02,0.00E+00,9.44E+01,5.59E+02,1.12E+04,18,0.00E+00,0.00E+00,0.00E+00,-5.42E+01,-1.46E+03,-5.75E+02,-2.21E+03,-2.97E-01,-3.48E-01,-2.00E-06,-1.88E-06
7.0014,-1.11E-07,0.00E+00,-2.36E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E+02,0.00E+00,9.52E+01,6.47E+02,1.14E+04,19,0.00E+00,0.00E+00,0.00E+00,-4.44E+01,-1.50E+03,-5.38E+02,-2.71E+03,-6.56E-01,-9.51E-01,-8.72E-06,-9.89E-06
7.308,-1.09E-07,0.00E+00,-2.70E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.83E+02,0.00E+00,9.60E+01,6.76E+02,1.14E+04,20,0.00E+00,0.00E+00,0.00E+00,-4.13E+01,-1.51E+03,-5.14E+02,-2.86E+03,-8.17E-01,-1.20E+00,-1.33E-05,-1.40E-05
7.7067,-1.07E-07,0.00E+00,-3.12E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.85E+02,0.00E+00,9.63E+01,7.15E+02,1.15E+04,21,0.00E+00,0.00E+00,0.00E+00,-3.79E+01,-1.53E+03,-4.92E+02,-3.06E+03,-1.06E+00,-1.62E+00,-2.25E-05,-2.29E-05
8.2249,-1.04E-07,0.00E+00,-3.66E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.87E+02,0.00E+00,9.67E+01,7.65E+02,1.16E+04,22,0.00E+00,0.00E+00,0.00E+00,-3.37E+01,-1.55E+03,-4.61E+02,-3.30E+03,-1.41E+00,-2.35E+00,-4.30E-05,-4.52E-05
8.8987,-8.51E-08,0.00E+00,-4.24E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.90E+02,0.00E+00,9.71E+01,8.30E+02,1.17E+04,23,0.00E+00,0.00E+00,0.00E+00,-2.89E+01,-1.57E+03,-4.28E+02,-3.59E+03,-1.90E+00,-3.63E+00,-9.32E-05,-1.08E-04
9.7745,-6.04E-08,0.00E+00,-4.77E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.93E+02,0.00E+00,9.76E+01,9.16E+02,1.18E+04,24,0.00E+00,0.00E+00,0.00E+00,-2.37E+01,-1.59E+03,-4.02E+02,-3.94E+03,-2.56E+00,-5.87E+00,-2.24E-04,-3.04E-04
10.7707,-5.85E-08,0.00E+00,-5.35E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.96E+02,0.00E+00,9.82E+01,1.01E+03,1.19E+04,25,0.00E+00,0.00E+00,0.00E+00,-1.95E+01,-1.61E+03,-3.80E+02,-4.32E+03,-3.25E+00,-9.11E+00,-5.12E-04,-8.14E-04
11.7861,-4.76E-08,0.00E+00,-5.83E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.01E+02,0.00E+00,9.89E+01,1.11E+03,1.20E+04,26,0.00E+00,0.00E+00,0.00E+00,-1.71E+01,-1.62E+03,-3.53E+02,-4.68E+03,-3.87E+00,-1.30E+01,-1.01E-03,-1.84E-03
12.8275,6.61E-09,0.00E+00,-5.76E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.05E+02,0.00E+00,9.96E+01,1.22E+03,1.21E+04,27,0.00E+00,0.00E+00,0.00E+00,-1.49E+01,-1.64E+03,-3.23E+02,-5.01E+03,-4.44E+00,-1.77E+01,-1.76E-03,-3.67E-03
13.1859,2.99E-08,0.00E+00,-5.66E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.08E+02,0.00E+00,1.00E+02,1.25E+03,1.22E+04,28,0.00E+00,0.00E+00,0.00E+00,-1.41E+01,-1.64E+03,-3.11E+02,-5.13E+03,-4.59E+00,-1.93E+01,-2.06E-03,-4.40E-03
13.6517,-2.57E-08,0.00E+00,-5.77E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E+02,0.00E+00,1.00E+02,1.30E+03,1.22E+04,29,0.00E+00,0.00E+00,0.00E+00,-1.32E+01,-1.65E+03,-2.98E+02,-5.26E+03,-4.93E+00,-2.16E+01,-2.50E-03,-5.57E-03
14.2573,-2.00E-07,0.00E+00,-6.99E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.11E+02,0.00E+00,1.01E+02,1.36E+03,1.23E+04,30,0.00E+00,0.00E+00,0.00E+00,-1.21E+01,-1.66E+03,-2.79E+02,-5.43E+03,-5.38E+00,-2.49E+01,-3.10E-03,-7.44E-03
15.0445,-6.16E-07,0.00E+00,-1.18E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.13E+02,1.73E-30,1.01E+02,1.44E+03,1.24E+04,31,0.00E+00,0.00E+00,0.00E+00,-1.08E+01,-1.67E+03,-2.55E+02,-5.63E+03,-5.94E+00,-2.95E+01,-3.95E-03,-1.05E-02
15.3857,-1.12E-06,-2.06E-30,-1.57E-06,-7.03E-31,0.00E+00,0.00E+00,0.00E+00,4.16E+02,3.24E-30,1.01E+02,1.48E+03,1.24E+04,32,0.00E+00,0.00E+00,0.00E+00,-1.02E+01,-1.67E+03,-2.43E+02,-5.72E+03,-6.15E+00,-3.16E+01,-4.32E-03,-1.20E-02
15.8291,-1.20E-06,-4.04E-30,-2.10E-06,-2.49E-30,0.00E+00,0.00E+00,0.00E+00,4.17E+02,6.68E-30,1.02E+02,1.52E+03,1.24E+04,33,0.00E+00,0.00E+00,0.00E+00,-9.47E+00,-1.67E+03,-2.32E+02,-5.82E+03,-6.44E+00,-3.45E+01,-4.86E-03,-1.42E-02
16.2726,-1.21E-06,-7.81E-30,-2.63E-06,-5.96E-30,0.00E+00,0.00E+00,0.00E+00,4.18E+02,1.29E-29,1.02E+02,1.57E+03,1.25E+04,34,0.00E+00,0.00E+00,0.00E+00,-8.79E+00,-1.68E+03,-2.19E+02,-5.92E+03,-6.70E+00,-3.75E+01,-5.42E-03,-1.66E-02
16.7161,-1.32E-06,-1.44E-29,-3.22E-06,-1.23E-29,0.00E+00,0.00E+00,0.00E+00,4.19E+02,2.39E-29,1.02E+02,1.61E+03,1.25E+04,35,0.00E+00,0.00E+00,0.00E+00,-8.11E+00,-1.68E+03,-2.07E+02,-6.01E+03,-6.93E+00,-4.05E+01,-6.04E-03,-1.93E-02
17.2927,-1.43E-06,-2.90E-29,-4.04E-06,-2.91E-29,0.00E+00,0.00E+00,0.00E+00,4.20E+02,5.20E-29,1.02E+02,1.67E+03,1.25E+04,36,0.00E+00,0.00E+00,0.00E+00,-7.25E+00,-1.69E+03,-1.94E+02,-6.12E+03,-7.20E+00,-4.47E+01,-6.98E-03,-2.33E-02
18.0421,-1.42E-06,-7.13E-29,-5.10E-06,-8.25E-29,0.00E+00,0.00E+00,0.00E+00,4.22E+02,1.39E-28,1.02E+02,1.75E+03,1.26E+04,37,0.00E+00,0.00E+00,0.00E+00,-6.37E+00,-1.69E+03,-1.81E+02,-6.26E+03,-7.47E+00,-5.03E+01,-8.46E-03,-2.96E-02
18.7916,-1.28E-06,-1.83E-28,-6.06E-06,-2.19E-28,0.00E+00,0.00E+00,0.00E+00,4.23E+02,3.63E-28,1.03E+02,1.82E+03,1.26E+04,38,0.00E+00,0.00E+00,0.00E+00,-5.68E+00,-1.69E+03,-1.73E+02,-6.39E+03,-7.66E+00,-5.60E+01,-1.02E-02,-3.72E-02
19.5411,-1.24E-06,-4.61E-28,-6.99E-06,-5.65E-28,0.00E+00,0.00E+00,0.00E+00,4.25E+02,9.26E-28,1.03E+02,1.90E+03,1.27E+04,39,0.00E+00,0.00E+00,0.00E+00,-5.18E+00,-1.70E+03,-1.66E+02,-6.51E+03,-7.77E+00,-6.19E+01,-1.20E-02,-4.63E-02
20.5155,-1.24E-06,-1.45E-27,-8.20E-06,-1.98E-27,0.00E+00,0.00E+00,0.00E+00,4.27E+02,3.20E-27,1.03E+02,2.00E+03,1.27E+04,40,0.00E+00,0.00E+00,0.00E+00,-4.70E+00,-1.70E+03,-1.56E+02,-6.66E+03,-7.79E+00,-6.94E+01,-1.47E-02,-6.06E-02
21.7821,-1.25E-06,-7.06E-27,-9.79E-06,-1.09E-26,0.00E+00,0.00E+00,0.00E+00,4.29E+02,1.71E-26,1.04E+02,2.13E+03,1.28E+04,41,0.00E+00,0.00E+00,0.00E+00,-4.13E+00,-1.71E+03,-1.44E+02,-6.85E+03,-7.65E+00,-7.91E+01,-1.84E-02,-8.39E-02
23.1462,-1.24E-06,-3.96E-26,-1.15E-05,-6.49E-26,0.00E+00,0.00E+00,0.00E+00,4.31E+02,9.93E-26,1.04E+02,2.28E+03,1.29E+04,42,0.00E+00,0.00E+00,0.00E+00,-3.54E+00,-1.71E+03,-1.31E+02,-7.02E+03,-7.40E+00,-8.92E+01,-2.24E-02,-1.14E-01
24.5335,-1.05E-06,-2.05E-25,-1.29E-05,-3.49E-25,0.00E+00,0.00E+00,0.00E+00,4.34E+02,5.20E-25,1.05E+02,2.42E+03,1.30E+04,43,0.00E+00,0.00E+00,0.00E+00,-2.99E+00,-1.72E+03,-1.17E+02,-7.19E+03,-7.14E+00,-9.91E+01,-2.63E-02,-1.51E-01
25.9531,-8.39E-07,-9.43E-25,-1.41E-05,-1.69E-24,0.00E+00,0.00E+00,0.00E+00,4.36E+02,2.44E-24,1.05E+02,2.57E+03,1.30E+04,44,0.00E+00,0.00E+00,0.00E+00,-2.44E+00,-1.72E+03,-1.04E+02,-7.33E+03,-7.04E+00,-1.09E+02,-2.98E-02,-1.93E-01
27.4156,-7.64E-07,-3.88E-24,-1.53E-05,-7.36E-24,0.00E+00,0.00E+00,0.00E+00,4.38E+02,1.03E-23,1.05E+02,2.72E+03,1.31E+04,45,0.00E+00,0.00E+00,0.00E+00,-1.86E+00,-1.72E+03,-9.03E+01,-7.47E+03,-7.10E+00,-1.20E+02,-3.26E-02,-2.41E-01
28.9328,-6.39E-07,-1.43E-23,-1.62E-05,-2.90E-23,0.00E+00,0.00E+00,0.00E+00,4.40E+02,3.92E-23,1.06E+02,2.88E+03,1.32E+04,46,0.00E+00,0.00E+00,0.00E+00,-1.38E+00,-1.73E+03,-7.74E+01,-7.58E+03,-7.08E+00,-1.30E+02,-3.48E-02,-2.94E-01
30.5203,-4.25E-07,-4.73E-23,-1.69E-05,-1.04E-22,0.00E+00,0.00E+00,0.00E+00,4.42E+02,1.36E-22,1.06E+02,3.05E+03,1.32E+04,47,0.00E+00,0.00E+00,0.00E+00,-1.04E+00,-1.73E+03,-6.59E+01,-7.69E+03,-6.96E+00,-1.41E+02,-3.65E-02,-3.52E-01
32.195,-3.21E-07,-1.42E-22,-1.74E-05,-3.43E-22,0.00E+00,0.00E+00,0.00E+00,4.44E+02,4.31E-22,1.06E+02,3.23E+03,1.33E+04,48,0.00E+00,0.00E+00,0.00E+00,-8.99E-01,-1.73E+03,-5.89E+01,-7.79E+03,-6.75E+00,-1.53E+02,-3.82E-02,-4.16E-01
33.9789,-3.15E-07,-3.93E-22,-1.80E-05,-1.04E-21,0.00E+00,0.00E+00,0.00E+00,4.46E+02,1.27E-21,1.07E+02,3.42E+03,1.33E+04,49,0.00E+00,0.00E+00,0.00E+00,-7.31E-01,-1.73E+03,-5.37E+01,-7.88E+03,-6.42E+00,-1.64E+02,-4.09E-02,-4.89E-01
