Time,cvTop,cvBot,Sum(cvTop),Sum(cvBot),cvCh0,cvCh1,cTop,cRoot,cBot,cvRoot,Sum(cvRoot),Sum(cvNEql),TLevel,cGWL,cRunOff,Sum(cRunOff),"(cv(i),","Sum(cv(i)),","i=1,NObs)",,,,,
0.05,-5.86E-18,0.00E+00,-2.93E-19,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.04E+02,0.00E+00,1.35E+02,6.73E+00,1.44E+03,1,0.00E+00,0.00E+00,0.00E+00,-2.18E+03,-1.09E+02,-5.67E-03,-2.84E-04,-6.50E-18,-3.25E-19,0.00E+00,0.00E+00
0.1,7.75E-17,0.00E+00,3.58E-18,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.81E+02,0.00E+00,1.28E+02,1.31E+01,2.68E+03,2,0.00E+00,0.00E+00,0.00E+00,-1.84E+03,-2.01E+02,-4.24E-02,-2.41E-03,-1.63E-16,-8.50E-18,0.00E+00,0.00E+00
0.165,1.63E-15,0.00E+00,1.09E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.61E+02,0.00E+00,1.23E+02,2.11E+01,4.03E+03,3,0.00E+00,0.00E+00,0.00E+00,-1.49E+03,-2.97E+02,-2.29E-01,-1.73E-02,-8.72E-15,-5.75E-16,-1.13E-28,-7.37E-30
0.2495,1.13E-14,0.00E+00,1.06E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.39E+02,0.00E+00,1.17E+02,3.10E+01,5.44E+03,4,0.00E+00,0.00E+00,0.00E+00,-1.16E+03,-3.96E+02,-9.40E-01,-9.67E-02,-4.58E-13,-3.93E-14,-5.76E-26,-4.88E-27
0.3593,1.73E-14,0.00E+00,2.96E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.16E+02,0.00E+00,1.10E+02,4.31E+01,6.82E+03,5,0.00E+00,0.00E+00,0.00E+00,-8.73E+02,-4.92E+02,-3.15E+00,-4.43E-01,-1.94E-11,-2.17E-12,-2.31E-23,-2.54E-24
0.5022,-1.46E-15,0.00E+00,2.76E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.94E+02,0.00E+00,1.04E+02,5.80E+01,8.05E+03,6,0.00E+00,0.00E+00,0.00E+00,-6.42E+02,-5.83E+02,-9.02E+00,-1.73E+00,-6.50E-10,-9.50E-11,-6.89E-21,-9.87E-22
0.6878,-1.54E-14,0.00E+00,-1.04E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.74E+02,0.00E+00,9.89E+01,7.64E+01,9.04E+03,7,0.00E+00,0.00E+00,0.00E+00,-4.74E+02,-6.71E+02,-2.27E+01,-5.95E+00,-1.75E-08,-3.35E-09,-1.54E-18,-2.87E-19
0.9291,-1.01E-14,0.00E+00,-2.53E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.59E+02,0.00E+00,9.45E+01,9.92E+01,9.75E+03,8,0.00E+00,0.00E+00,0.00E+00,-3.62E+02,-7.59E+02,-5.10E+01,-1.83E+01,-3.84E-07,-9.60E-08,-2.63E-16,-6.37E-17
1.2429,-5.65E-15,0.00E+00,-4.31E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.48E+02,0.00E+00,9.15E+01,1.28E+02,1.02E+04,9,0.00E+00,0.00E+00,0.00E+00,-2.88E+02,-8.49E+02,-1.03E+02,-5.06E+01,-6.91E-06,-2.27E-06,-3.43E-14,-1.08E-14
1.6507,-2.55E-15,0.00E+00,-5.35E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.44E+02,0.00E+00,8.99E+01,1.65E+02,1.03E+04,10,0.00E+00,0.00E+00,0.00E+00,-2.36E+02,-9.46E+02,-1.86E+02,-1.26E+02,-1.02E-04,-4.38E-05,-3.43E-12,-1.41E-12
2.181,1.54E-10,0.00E+00,8.15E-11,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.43E+02,0.00E+00,8.93E+01,2.12E+02,1.04E+04,11,0.00E+00,0.00E+00,0.00E+00,-1.96E+02,-1.05E+03,-3.00E+02,-2.85E+02,-1.19E-03,-6.77E-04,-2.54E-10,-1.36E-10
2.8703,5.53E-10,0.00E+00,4.63E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.45E+02,0.00E+00,8.94E+01,2.74E+02,1.04E+04,12,0.00E+00,0.00E+00,0.00E+00,-1.59E+02,-1.16E+03,-4.34E+02,-5.84E+02,-1.07E-02,-8.09E-03,-1.30E-08,-9.09E-09
3.7663,-2.26E-10,0.00E+00,2.60E-10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.49E+02,0.00E+00,8.97E+01,3.54E+02,1.04E+04,13,0.00E+00,0.00E+00,0.00E+00,-1.22E+02,-1.27E+03,-5.74E+02,-1.10E+03,-7.24E-02,-7.30E-02,-4.22E-07,-3.88E-07
4.8286,-6.05E-09,0.00E+00,-6.17E-09,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.54E+02,0.00E+00,9.03E+01,4.50E+02,1.05E+04,14,0.00E+00,0.00E+00,0.00E+00,-9.26E+01,-1.37E+03,-6.94E+02,-1.84E+03,-3.34E-01,-4.28E-01,-6.65E-06,-7.45E-06
5.8913,-2.06E-08,0.00E+00,-2.81E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.61E+02,0.00E+00,9.12E+01,5.47E+02,1.05E+04,15,0.00E+00,0.00E+00,0.00E+00,-7.15E+01,-1.44E+03,-7.65E+02,-2.65E+03,-1.02E+00,-1.51E+00,-4.63E-05,-5.66E-05
6.9547,-4.20E-08,0.00E+00,-7.27E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.68E+02,0.00E+00,9.22E+01,6.45E+02,1.04E+04,16,0.00E+00,0.00E+00,0.00E+00,-5.68E+01,-1.50E+03,-7.85E+02,-3.48E+03,-2.43E+00,-4.10E+00,-2.22E-04,-2.93E-04
7.3096,-5.71E-08,0.00E+00,-9.30E-08,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.75E+02,0.00E+00,9.32E+01,6.78E+02,1.04E+04,17,0.00E+00,0.00E+00,0.00E+00,-5.21E+01,-1.52E+03,-7.84E+02,-3.76E+03,-3.10E+00,-5.20E+00,-3.38E-04,-4.13E-04
7.7711,-5.96E-08,0.00E+00,-1.21E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.78E+02,0.00E+00,9.37E+01,7.21E+02,1.03E+04,18,0.00E+00,0.00E+00,0.00E+00,-4.89E+01,-1.54E+03,-7.78E+02,-4.12E+03,-4.17E+00,-7.12E+00,-5.78E-04,-6.79E-04
8.3709,-5.41E-08,0.00E+00,-1.53E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.82E+02,0.00E+00,9.45E+01,7.78E+02,1.03E+04,19,0.00E+00,0.00E+00,0.00E+00,-4.44E+01,-1.57E+03,-7.57E+02,-4.57E+03,-5.85E+00,-1.06E+01,-1.11E-03,-1.35E-03
9.1507,-3.96E-08,0.00E+00,-1.84E-07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.86E+02,1.29E-30,9.50E+01,8.52E+02,1.03E+04,20,0.00E+00,0.00E+00,0.00E+00,-3.89E+01,-1.60E+03,-7.15E+02,-5.13E+03,-8.49E+00,-1.73E+01,-2.48E-03,-3.28E-03
9.4886,-2.75E-08,-1.97E-30,-1.93E-07,-6.67E-31,0.00E+00,0.00E+00,0.00E+00,3.90E+02,3.01E-30,9.57E+01,8.84E+02,1.03E+04,21,0.00E+00,0.00E+00,0.00E+00,-3.66E+01,-1.61E+03,-6.91E+02,-5.37E+03,-9.75E+00,-2.05E+01,-3.41E-03,-4.43E-03
9.9279,-2.87E-08,-4.94E-30,-2.06E-07,-2.84E-30,0.00E+00,0.00E+00,0.00E+00,3.93E+02,7.77E-30,9.61E+01,9.26E+02,1.03E+04,22,0.00E+00,0.00E+00,0.00E+00,-3.42E+01,-1.63E+03,-6.67E+02,-5.66E+03,-1.15E+01,-2.56E+01,-5.06E-03,-6.65E-03
10.499,-5.62E-08,-1.51E-29,-2.38E-07,-1.14E-29,0.00E+00,0.00E+00,0.00E+00,3.96E+02,2.52E-29,9.66E+01,9.82E+02,1.03E+04,23,0.00E+00,0.00E+00,0.00E+00,-3.13E+01,-1.65E+03,-6.33E+02,-6.02E+03,-1.39E+01,-3.36E+01,-8.19E-03,-1.13E-02
11.2414,-1.67E-07,-6.48E-29,-3.62E-07,-5.95E-29,0.00E+00,0.00E+00,0.00E+00,3.99E+02,1.17E-28,9.70E+01,1.05E+03,1.03E+04,24,0.00E+00,0.00E+00,0.00E+00,-2.77E+01,-1.67E+03,-5.88E+02,-6.46E+03,-1.71E+01,-4.63E+01,-1.45E-02,-2.21E-02
12.2065,-4.92E-07,-4.83E-28,-8.37E-07,-5.25E-28,0.00E+00,0.00E+00,0.00E+00,4.02E+02,9.54E-28,9.75E+01,1.15E+03,1.03E+04,25,0.00E+00,0.00E+00,0.00E+00,-2.35E+01,-1.69E+03,-5.39E+02,-6.98E+03,-2.10E+01,-6.66E+01,-2.76E-02,-4.87E-02
12.5702,-8.82E-07,-1.25E-27,-1.16E-06,-9.79E-28,0.00E+00,0.00E+00,0.00E+00,4.06E+02,1.83E-27,9.81E+01,1.18E+03,1.03E+04,26,0.00E+00,0.00E+00,0.00E+00,-2.20E+01,-1.70E+03,-5.21E+02,-7.17E+03,-2.25E+01,-7.48E+01,-3.43E-02,-6.12E-02
13.043,-1.20E-06,-2.68E-27,-1.73E-06,-2.25E-27,0.00E+00,0.00E+00,0.00E+00,4.09E+02,4.18E-27,9.85E+01,1.23E+03,1.02E+04,27,0.00E+00,0.00E+00,0.00E+00,-2.05E+01,-1.71E+03,-5.10E+02,-7.41E+03,-2.43E+01,-8.63E+01,-4.49E-02,-8.24E-02
13.6577,-1.63E-06,-7.30E-27,-2.73E-06,-6.73E-27,0.00E+00,0.00E+00,0.00E+00,4.12E+02,1.23E-26,9.90E+01,1.29E+03,1.02E+04,28,0.00E+00,0.00E+00,0.00E+00,-1.86E+01,-1.72E+03,-4.95E+02,-7.71E+03,-2.65E+01,-1.03E+02,-6.18E-02,-1.20E-01
14.4568,-2.24E-06,-2.74E-26,-4.52E-06,-2.86E-26,0.00E+00,0.00E+00,0.00E+00,4.14E+02,5.03E-26,9.94E+01,1.37E+03,1.02E+04,29,0.00E+00,0.00E+00,0.00E+00,-1.64E+01,-1.73E+03,-4.73E+02,-8.09E+03,-2.87E+01,-1.25E+02,-8.90E-02,-1.92E-01
14.803,-2.88E-06,-5.99E-26,-5.52E-06,-4.93E-26,0.00E+00,0.00E+00,0.00E+00,4.17E+02,8.76E-26,9.99E+01,1.40E+03,1.02E+04,30,0.00E+00,0.00E+00,0.00E+00,-1.55E+01,-1.74E+03,-4.64E+02,-8.25E+03,-2.94E+01,-1.36E+02,-1.03E-01,-2.27E-01
15.2532,-3.39E-06,-1.15E-25,-7.04E-06,-1.01E-25,0.00E+00,0.00E+00,0.00E+00,4.19E+02,1.78E-25,1.00E+02,1.45E+03,1.02E+04,31,0.00E+00,0.00E+00,0.00E+00,-1.47E+01,-1.74E+03,-4.52E+02,-8.45E+03,-3.06E+01,-1.49E+02,-1.22E-01,-2.82E-01
15.8384,-4.14E-06,-2.65E-25,-9.46E-06,-2.56E-25,0.00E+00,0.00E+00,0.00E+00,4.22E+02,4.43E-25,1.01E+02,1.51E+03,1.02E+04,32,0.00E+00,0.00E+00,0.00E+00,-1.39E+01,-1.75E+03,-4.37E+02,-8.71E+03,-3.18E+01,-1.68E+02,-1.51E-01,-3.70E-01
