Time,cvTop,cvBot,Sum(cvTop),Sum(cvBot),cvCh0,cvCh1,cTop,cRoot,cBot,cvRoot,Sum(cvRoot),Sum(cvNEql),TLevel,cGWL,cRunOff,Sum(cRunOff),"(cv(i),","Sum(cv(i)),","i=1,NObs)",,,,,
[T],[M/L2/T],[M/L2/T],[M/L2],[M/L2],[M/L2],[M/L2],[M/L3],[M/L3],[M/L3],[M/L2/T],[M/L2],[M/L2],[M/L3],[M/L2],[M/L3],[M/L2/T],[M/L2],,,,,,,
0.05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.35E+02,0.00E+00,0.00E+00,0.00E+00,8.63E+03,1,0.00E+00,0.00E+00,0.00E+00,-7.03E-16,-3.51E-17,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.115,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.43E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,2,0.00E+00,0.00E+00,0.00E+00,-1.93E-15,-1.61E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.1605,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,3,0.00E+00,0.00E+00,0.00E+00,-1.99E-15,-2.51E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.2196,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,4,0.00E+00,0.00E+00,0.00E+00,-1.99E-15,-3.69E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.2965,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,5,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-5.21E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.3965,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,6,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-7.19E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.5265,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,7,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-9.76E-16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.6954,1.91E-12,0.00E+00,3.23E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,8,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-1.31E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
0.915,7.56E-13,0.00E+00,4.89E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,9,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-1.75E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.2005,-4.44E-13,0.00E+00,3.63E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,10,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-2.31E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
1.5717,2.96E-13,0.00E+00,4.72E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,11,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-3.05E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.0542,-9.94E-14,0.00E+00,4.24E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,12,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-4.00E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.6814,1.21E-13,0.00E+00,5.00E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,13,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-5.24E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.4969,-5.01E-15,0.00E+00,4.96E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,14,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-6.86E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
4.5569,7.04E-14,0.00E+00,5.71E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,15,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-8.96E-15,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
5.935,2.27E-14,0.00E+00,6.02E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,16,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-1.17E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
7.7265,5.42E-14,0.00E+00,6.99E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,17,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-1.52E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
10.0555,3.31E-14,0.00E+00,7.76E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,18,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-1.99E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
13.0831,4.63E-14,0.00E+00,9.17E-13,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,19,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-2.58E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
17.0191,3.49E-14,0.00E+00,1.05E-12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E+02,0.00E+00,0.00E+00,0.00E+00,1.01E+04,20,0.00E+00,0.00E+00,0.00E+00,-1.98E-15,-3.36E-14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
